Ekrundan 2024 - Klassplacering (inofficiella resultat),,,,,,,,,,,,
Ungdom,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
23,39,7,C,Mattias Andersson/Peter Callegård,SMK Eksjö/SMK Eksjö,Volvo 244,,0,"15.33,3","2.38,5","1.31,3","4.06,4 | 3.41,8 | 4.06,8 | 3.38,3 |"
24,47,8,C,Jonas Karlsson/Oskar Pettersson,Team Skogsåkarna/,Volvo 740,,0,"15.56,2","3.01,4","1.54,2","4.14,3 | 3.46,4 | 4.12,8 | 3.42,7 |"
16,48,9,C,Peter Gustavsson/Max Eriksson,Vetlanda RRC/Vetlanda RRC,Volvo 240,,0,"16.04,5","3.09,7","2.02,5","4.15,5 | 3.49,6 | 4.13,9 | 3.45,5 |"
22,50,10,C,Tom Wallin/Felix Wallin,Jönköpings kartingklubb/Jönköpings sportvagnssällskap,Volvo 244,,0,"16.14,5","3.19,7","2.12,5","4.20,5 | 3.51,5 | 4.17,0 | 3.45,5 |"
18,52,11,C,Jörgen Källberg/Niclas Bengtsson,Eksjö FRC/,Volvo 240,,0,"16.50,3","3.55,5","2.48,3","4.27,5 | 4.00,6 | 4.29,0 | 3.53,2 |"
27,54,12,C,Christer Adolfsson /Frida Adolfsson,SMK Eksjö/SMK Eksjö,Volvo 244,,0,"17.38,5","4.43,7","3.36,5","4.13,9 | 5.17,4 | 4.17,9 | 3.49,3 |"
"Appendix K, A-B-C förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
31,16,1,B,Peter Dahlsund/Albin Larsson,Varbergs Mk/Varbergs MK,Volvo 240,,0,"14.04,9","1.10,1",,"3.42,1 | 3.21,7 | 3.42,9 | 3.18,2 |"
30,23,2,B,Dan Skärin/Christer Skärin,Skillingaryd MK/Skillingaryds MK,Volvo 244,,0,"14.33,1","1.38,3","0.28,2","3.48,7 | 3.29,4 | 3.49,5 | 3.25,5 |"
32,28,3,B,Fredrik Lundberg/Torbjörn Carlberg,SMK Eksjö/Nässjö MK,Volvo 242,,0,"14.46,2","1.51,4","0.41,3","3.51,8 | 3.33,6 | 3.51,2 | 3.29,6 |"
34,32,4,B,Daniel Levinsson/Anders Johansson,Tidaholms MK/Mariestads MS,Opel Ascona,,0,"15.13,2","2.18,4","1.08,3","4.03,8 | 3.38,3 | 3.59,3 | 3.31,8 |"
33,38,5,B,Jan Edlund/Christina Thorén,Tidaholms MK/Tidaholms MK,Volvo 142,,0,"15.29,8","2.35,0","1.24,9","4.05,6 | 3.41,5 | 4.04,8 | 3.37,9 |"
29,41,6,A,Hans Gustavsson/Terje Sandberg,Norrahammars MK/Norrahammars MK,Toyota Corolla ae86,,0,"15.35,5","2.40,7","1.30,6","4.06,3 | 3.57,0 | 3.58,6 | 3.33,6 |"
36,44,7,C,Tojje Axelsson/Kenneth Breistål,Team Skogsåkarna/Team Skogsåkarna,VW 1303 S,,0,"15.42,0","2.47,2","1.37,1","4.04,1 | 3.47,5 | 4.10,4 | 3.40,0 |"
37,49,8,C,Anders Danling/Håkan Svanström,Norrahammars MK/Norrahammars MK,Saab 96-V4,,0,"16.08,1","3.13,3","2.03,2","4.18,6 | 3.46,7 | 4.17,5 | 3.45,3 |"
35,,,C,Urban Westerström/Erik Pettersson,Eksjö FRC/Eksjö FRC,Volvo 164,,0,Brutit (Teknisk fel),,,"3.49,0 | -.--,- | -.--,- | -.--,- |"
"A-förare Gr.H, Gr.N över 1400, Gr.A, Nat Spec, 4WD",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
45,1,1,A,Johan Axelsson/Torbjörn Romedahl,Nässjö MK/Nässjö MK,Volvo 940,,0,"12.54,8",,,"3.30,6 | 3.06,5 | 3.18,9 | 2.58,8 |"
42,2,2,A,Johan Broman/Rickard Adelind,Team Skogsåkarna/Höglandets MS,Mitsubishi Evo 7,,0,"12.56,9","0.02,1","0.02,1","3.25,3 | 3.05,7 | 3.23,9 | 3.02,0 |"
41,3,3,A,Pierre Melin/Linus Kingoson,Nässjö MK/Nässjö MK,Mitsubishi Evo 4,,0,"13.00,3","0.05,5","0.05,5","3.30,8 | 3.05,5 | 3.24,3 | 2.59,7 |"
44,4,4,A,Marcus Holm/Sanna Järnström,Tidaholms MK/Tibro MK,BMW 325,,0,"13.05,8","0.11,0","0.11,0","3.26,8 | 3.09,6 | 3.22,8 | 3.06,6 |"
38,5,5,A,Andreas Elfver/Sofie Elfver,Gränna MK/Gränna MK,Volvo 240,,0,"13.08,3","0.13,5","0.13,5","3.27,4 | 3.09,6 | 3.26,8 | 3.04,5 |"
40,6,6,A,David Lindström/Mattias Hallqvist,Skillingaryds MK/Vara MK,Volvo 940,Plombo Motor,0,"13.20,2","0.25,4","0.25,4","3.32,5 | 3.12,4 | 3.27,0 | 3.08,3 |"
43,9,7,A,Niclas Melin/Mikael Frejd,Nässjö MK/Vetlanda RRC,VW Golf mk2,,0,"13.36,6","0.41,8","0.41,8","3.35,5 | 3.17,3 | 3.30,4 | 3.13,4 |"
46,17,8,A,Per Löfqvist/Carl Leandor,Kinds MK/,Volvo 242,,0,"14.05,8","1.11,0","1.11,0","3.47,0 | 3.20,7 | 3.42,1 | 3.16,0 |"
48,20,9,A,Magnus Görling/Rickard Ripenås,Team Skogsåkarna/Team skogsåkarna,Volvo 242,,0,"14.16,8","1.22,0","1.22,0","3.50,3 | 3.22,9 | 3.46,3 | 3.17,3 |"
47,,,A,Peder Hadarsson/Hampus Hadarsson,SMK Eksjö/SMK Eksjö,Volvo 940,,0,Brutit (Teknisk fel),,,"3.35,5 | -.--,- | -.--,- | -.--,- |"
"B-förare Gr.H, Gr.N över 1400, Gr.A, Nat Spec, 4WD",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
51,7,1,B,Jörgen Gerhardson/Nils Scheibling,Vetlanda RRC/Vetlanda RRC,Volvo 940,,0,"13.22,2","0.27,4",,"3.30,3 | 3.09,9 | 3.29,9 | 3.12,1 |"
53,10,2,B,Erik Braf/Mats Norss,Silverdalen MK/Höglandet Motorsällskap,Opel Ascona,,0,"13.40,7","0.45,9","0.18,5","3.37,7 | 3.18,3 | 3.32,2 | 3.12,5 |"
54,11,3,B,Peder Andersson/Linus Karlsson,Vimmerby MS/Team Skogsåkarna,Volvo 740,,0,"13.42,7","0.47,9","0.20,5","3.43,0 | 3.14,1 | 3.33,8 | 3.11,8 |"
50,18,4,B,Henrik Thagesson/Molly Thorén,Nybro AC/Nybro AC,Volvo 242,,0,"14.08,0","1.13,2","0.45,8","3.52,0 | 3.18,1 | 3.41,7 | 3.16,2 |"
52,21,5,B,Kristian Gustavsson/Sandra Gustavsson,Norrahammars MK/Norrahammars MK,Opel Ascona B,,0,"14.19,7","1.24,9","0.57,5","3.44,2 | 3.25,0 | 3.48,9 | 3.21,6 |"
56,22,6,B,Göran Boström/Stefan Johansson,VÖMK/VÖMK,Ford Fiesta R2,,0,"14.26,3","1.31,5","1.04,1","3.50,6 | 3.28,7 | 3.43,7 | 3.23,3 |"
55,36,7,B,Roland Brandmar/Johan Brandmar,Kullings MS/Kullins MS,Ford Fiesta st 150,,0,"15.22,8","2.28,0","2.00,6","4.09,5 | 3.40,9 | 3.58,1 | 3.34,3 |"
"C-förare Gr.H, Gr.N över 1400, Gr.A, Nat Spec, 4WD",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
58,8,1,C,Jörgen Andersson/Alexander Evertsson,Höglandets MS/Höglandets MS,Volvo 242,,0,"13.25,6","0.30,8",,"3.29,4 | 3.14,6 | 3.28,8 | 3.12,8 |"
61,12,2,C,Emil Karlsson /Rasmus Eriksson,Vimmerby MS/,Volvo 244,Flugenäs Racing,0,"13.44,2","0.49,4","0.18,6","3.37,5 | 3.17,8 | 3.37,5 | 3.11,4 |"
57,13,3,C,Fredrik Gustavsson/Linnea Gustafsson,Jungnerligan RC/Jungnerligan RC,Volvo 740,,0,"13.51,6","0.56,8","0.26,0","3.41,5 | 3.16,6 | 3.39,3 | 3.14,2 |"
60,15,4,C,Lukas Petersson/Alexander Andersson,Nybro AC/Nybro AC,Volvo 242,,0,"14.04,7","1.09,9","0.39,1","3.47,1 | 3.17,1 | 3.43,1 | 3.17,4 |"
62,29,5,C,Tommy Rosell/Filip Larsson,Team Skogsåkarna/Team Skogsåkarna,BMW 325,,0,"14.55,4","2.00,6","1.29,8","3.55,0 | 3.33,8 | 3.54,1 | 3.32,5 |"
59,,,C,Bengt Karlsson/Daniel Klinth,Vimmerby MS/Vimmerby MS,Ford Escort,#expressarn,0,Utesluten,,,"3.36,7 | 3.31,2 | 3.37,4 | 3.18,1 |"
