Skilling 500 - Klassplacering (inofficiella resultat),,,,,,,,,,,,
Ungdom,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
29,12,10,A,Joacim Kristiansson/Roger Clausson,SMK Hörby/SMK Hörby,Toyota Corolla,,0,"20.53,7","0.52,1","0.52,1","4.34,4 | 3.33,3 | 3.41,2 | 9.04,8 |"
24,13,11,A,Mats Moberg/Jimmy Wallin,Östergyllen RC/NMK,Opel Ascona B,,0,"21.04,1","1.02,5","1.02,5","4.41,3 | 3.34,5 | 3.44,5 | 9.03,8 |"
25,14,12,A,Andreas Elfver/Sofie Elfver,Gränna MK/Gränna MK,Volvo 240,,0,"21.06,3","1.04,7","1.04,7","4.40,6 | 3.36,3 | 3.43,3 | 9.06,1 |"
31,15,13,A,Viktor Karlsson/Erik Lindfors,Nybro AC/Hässleholms MK,VW Golf MK 4,,0,"21.11,0","1.09,4","1.09,4","4.41,3 | 3.35,5 | 3.45,6 | 9.08,6 |"
18,16,14,A,Jimmy Ekström/Emil Wretemark,V:a Östergötlands MK/Linköpings MS,Volvo 940,,0,"21.11,3","1.09,7","1.09,7","4.44,8 | 3.39,8 | 3.42,6 | 9.04,1 |"
20,17,15,A,Andreas Åkesson/Ulrik Gustavsson,Nybro AC/Nässjö MK,Volvo 242,,0,"21.22,2","1.20,6","1.20,6","4.45,1 | 3.35,2 | 3.49,3 | 9.12,6 |"
27,18,16,A,Arvid Tobiazon/Stina Esaiasson,Ryds MK/Ryds MK,Volvo 242,,0,"21.24,2","1.22,6","1.22,6","4.45,1 | 3.36,6 | 3.47,8 | 9.14,7 |"
23,22,17,A,David Lindström/Mikael Johansson,Skillingaryds MK/Hässleholms MK,Volvo 940,Plombo Motor,0,"21.30,5","1.28,9","1.28,9","4.43,6 | 3.35,5 | 3.44,5 | 9.26,9 |"
22,23,18,A,Mikael Simon/Adam Simon,Ljungby MK/Ljungby MK,Ford Escort,,0,"21.30,6","1.29,0","1.29,0","4.54,9 | 3.39,5 | 3.44,7 | 9.11,5 |"
30,31,19,A,Marcus Hultman /Robin Sällberg,SMK Valdemarsvik /Tjust MK,Volvo 240,,0,"21.41,5","1.39,9","1.39,9","4.49,3 | 3.39,8 | 3.50,4 | 9.22,0 |"
36,76,20,A,Yngve Tjörnbo/Jonas Frejd,Tjust MK/Vimmerby MS,Volvo 944,,0,"24.08,9","4.07,3","4.07,3","5.22,2 | 4.00,8 | 4.20,2 | 10.25,7 |"
28,,,A,Eskil Carlsson/Marina Carlsson,Varbergs MK/Varbergs MK,Volvo 940,,0,Brutit (Teknisk fel),,,"5.24,4 | -.--,- | -.--,- | -.--,- |"
21,,,A,Daniel Röjsel/Fredrik Persson,Anderstorp Racing Club/Anderstorp Racing Club,Opel Corsa,,0,Brutit (Teknisk fel),,,
Appendix K (endast 2WD) A-B-C Förare,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
39,35,1,A,Martin Lindén/Rickard Forsell,Team Skogsåkarna/Norbergs MC,Volvo 244,,0,"22.05,8","2.04,2",,"4.52,1 | 3.43,0 | 3.52,6 | 9.38,1 |"
41,40,2,A,Rune Karlsson/Martin Engman,Kullings MS/Kullings MS,Volvo 242,,0,"22.21,5","2.19,9","0.15,7","4.59,9 | 3.39,8 | 3.56,0 | 9.45,8 |"
40,43,3,A,Björn Nalle Johansson/Håkan Lindh,MSK Kvarnvingarna/MSK Kvarnvingarna,Opel Ascona B,,0,"22.25,6","2.24,0","0.19,8","5.01,4 | 3.44,2 | 3.59,1 | 9.40,9 |"
46,48,4,B,Peter Dahlsund/Carina Larsson,Varbergs Mk/Varbergs MK,Volvo 240,,0,"22.36,9","2.35,3","0.31,1","5.04,3 | 3.48,2 | 3.57,0 | 9.47,4 |"
43,49,5,A,Ingvar Nilsson/Stefan Josefsson,Hällefors MK/Skillingaryds MK,Volvo 244,,0,"22.37,3","2.35,7","0.31,5","5.01,8 | 3.49,4 | 4.03,7 | 9.42,4 |"
42,56,6,A,Thomas Thelin/Magnus Thelin,BMK Uddevalla/Bohusläns MK,VW 1302 s,,0,"22.54,0","2.52,4","0.48,2","5.09,9 | 3.49,3 | 3.58,5 | 9.56,3 |"
48,67,7,C,Joakim Petersson /Fredrik Strömberg,Tjust MK/Tjust MK,"Opel Kadett C 2,0",,0,"23.35,7","3.34,1","1.29,9","5.16,3 | 3.55,9 | 4.11,8 | 10.11,7 |"
45,74,8,B,Peter Thume/Örjan Strömberg,Kolsva MS/Kolsva MS,Opel Kadett GT/E,GG Motorsport,0,"23.57,9","3.56,3","1.52,1","5.27,1 | 4.02,1 | 4.11,3 | 10.17,4 |"
38,88,9,A,Hans Gustavsson/Björn Gustavsson,Norrahammars MK/Norrahammars MK,Toyota corolla ae86,,0,"24.56,8","4.55,2","2.51,0","5.37,9 | 4.05,7 | 4.19,8 | 10.53,4 |"
51,90,10,C,Jens Pettersson/Patrik Holm,Gränna MK/Norrahsmmars MK,Opel Ascona B,,0,"24.59,9","4.58,3","2.54,1","5.36,5 | 4.09,9 | 4.21,6 | 10.51,9 |"
50,91,11,C,Tojje Axelsson/Kenneth Breistål,Team Skogsåkarna/Team Skogsåkarna,VW 1303 S,,10 (SS4: Tjuvstart),"25.08,2","5.06,6","3.02,4","5.34,1 | 4.12,3 | 4.25,8 | 10.46,0 |"
52,95,12,C,Anders Danling/Håkan Svanström,Norrahammars MK/Norrahammars MK,Saab 96-V4,,0,"25.48,8","5.47,2","3.43,0","5.55,4 | 4.19,9 | 4.30,2 | 11.03,3 |"
49,96,13,C,Christer Johansson /Magnus Hedström,KullingsMS/Kullings MS,Saab V4,,0,"26.59,2","6.57,6","4.53,4","6.04,9 | 4.29,6 | 4.43,9 | 11.40,8 |"
47,,,C,Bengt Karlsson/Daniel Klinth,Vimmerby MS/Vimmerby MS,Ford Escort,#expressarn,0,Brutit (Teknisk fel),,,"5.12,1 | 3.50,2 | 4.02,8 | -.--,- |"
44,,,B,Gustaf Ekenved/Viktoria Johansson,Göteborgs MF/SMK Nyköping,Volvo 240,,0,Utesluten,,,"4.54,4 | 3.35,5 | 3.43,8 | 26.26,6 |"
"VOC, Gr F, R1B, Gr N upp till 1400 A-Förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
53,29,1,A,Karljohan Ingesson/Tobias Petersson,SMK Hörby/Ryds MK,BMW E46,DRIVE VXO MOTORSPORT,0,"21.38,0","1.36,4",,"4.45,9 | 3.42,0 | 3.50,3 | 9.19,8 |"
56,33,2,A,Jim Nilsson/Jörgen Jönsson,SMK Hörby/SMK Hörby,Volvo 944,AM Elteknik,0,"22.05,2","2.03,6","0.27,2","4.50,4 | 3.42,8 | 3.53,6 | 9.38,4 |"
57,55,3,A,Mattias Erelt/Åke Lundberg,Älmhults MK /Älmhults MK,Volvo 740,,0,"22.47,6","2.46,0","1.09,6","5.16,9 | 3.46,6 | 4.00,0 | 9.44,1 |"
55,66,4,A,Ingemar Månsson/Per Ivar Hellberg,SMK Hörby/Osby MK,Volvo 940,,0,"23.25,0","3.23,4","1.47,0","5.14,7 | 3.55,0 | 4.09,8 | 10.05,5 |"
54,71,5,A,Bo Fransson/Andreas Sigfridsson,Växjö MS/Växjö MS,Volvo 940,,0,"23.47,7","3.46,1","2.09,7","5.49,6 | 3.54,5 | 4.05,8 | 9.57,8 |"
58,79,6,A,Gerth Andersson/Frida Axelsson,Skillingaryds MK/Skillingaryds MK,VW Golf GTI,,10 (SS2: Tjuvstart),"24.22,7","4.21,1","2.44,7","5.19,4 | 4.13,1 | 4.23,6 | 10.16,6 |"
"Gr E, A-B Förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
61,62,1,B,Keith Wennberg/Jane Wennberg,Skillingaryds MK/Skillingaryds MK,Volvo 940,Plombo Motor,0,"23.12,3","3.10,7",,"5.04,8 | 3.54,1 | 4.04,9 | 10.08,5 |"
62,83,2,B,Emil Degerman/Ditte Hammarström,Älmhult MK/Älmhult MK,Toyota Corolla,,0,"24.42,9","4.41,3","1.30,6","5.17,5 | 4.05,9 | 4.15,6 | 11.03,9 |"
59,87,3,A,Christer Sundström/Stefan Svensson,Eksjö FRC/Nässjö MK,Opel Corsa,,0,"24.54,5","4.52,9","1.42,2","5.35,0 | 4.09,8 | 4.26,4 | 10.43,3 |"
60,92,4,A,Tomas Östermyr/Gunnar Larsson,Killings MS /Killings MS,Toyota Corolla,,0,"25.19,8","5.18,2","2.07,5","5.33,7 | 4.12,0 | 4.32,9 | 11.01,2 |"
"2WD B-Förare (Gr H, Gr HB, R2, R3, Nat spec 2WD)",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
65,9,1,B,Oskar Andersson/Christoffer Svensson,Vimmerby MS/Nässjö MK,Volvo 940,,0,"20.42,1","0.40,5",,"4.28,0 | 3.27,9 | 3.35,7 | 9.10,5 |"
63,19,2,B,Willy Klarén/Kristian Floren,Kullings MS/Kullings MS,Volvo 940,,0,"21.26,2","1.24,6","0.44,1","4.35,1 | 3.30,0 | 3.37,3 | 9.43,8 |"
67,21,3,B,Håkan Rönnebring /Anette Pettersson,Karlskrona AK/Gullabo RC,Bmw compact m3,,0,"21.29,8","1.28,2","0.47,7","4.41,0 | 3.36,8 | 3.50,7 | 9.21,3 |"
70,26,4,B,Gösta Wremert/Dennis Kullberg,Svedala MK/Asarums MS,Volvo 242 Sportcupé,,0,"21.32,6","1.31,0","0.50,5","4.44,5 | 3.39,2 | 3.48,4 | 9.20,5 |"
68,27,5,B,Joakim Wallin/Mikael Karlsson,Norrköpings MK/Norrköpings MK,Volvo 940,Norrköpings express,0,"21.33,1","1.31,5","0.51,0","4.46,8 | 3.40,0 | 3.53,9 | 9.12,4 |"
73,34,6,B,Henrik Thagesson/Anders Thagesson,Nybro AC/Nybro AC,Volvo 242 EVO,,0,"22.05,7","2.04,1","1.23,6","4.57,4 | 3.44,0 | 3.54,2 | 9.30,1 |"
