total_place,klass_place,number,driverklass,name,klubb,klass,driver
1,1,21,A,Stefan Alenmalm,SMK Trollhättan,A - 2 wd,driver
1,1,21,A,Erik Gustafsson,SMK Linde,A - 2 wd,codriver
2,1,3,A,David Nattsson,Falköpings MK,A/B/C - förare 4 WD,driver
2,1,3,A,Sebastian Johansson,Götene MK,A/B/C - förare 4 WD,codriver
3,1,30,B,Linus Lind,Lima MS,B - 2 wd,driver
3,1,30,B,Johannes Lundbäck,Lima MS,B - 2 wd,codriver
4,2,24,A,Christoffer Haglund,SMK Nyköping,A - 2 wd,driver
4,2,24,A,Martin Holmdahl,KNA Kongsvinger,A - 2 wd,codriver
5,3,19,A,Victor Bergsander,Kullings MS,A - 2 wd,driver
5,3,19,A,Christoffer Lund,Kullings MS,A - 2 wd,codriver
6,4,25,A,Patrik Åkerman,Ljusdals MS,A - 2 wd,driver
6,4,25,A,Joakim Gevert,Fryksdalens MK,A - 2 wd,codriver
7,5,8,A,Marcus Holm,Tidaholms MK,A - 2 wd,driver
7,5,8,A,Emil Fröberg,Mariestads MS,A - 2 wd,codriver
8,6,22,A,Pontus Berglund,SMK Hörby,A - 2 wd,driver
8,6,22,A,Peter Berglund,SMK Hörby,A - 2 wd,codriver
9,2,5,C,Anton Malm,Eskilstuna MK,A/B/C - förare 4 WD,driver
9,2,5,C,Jonatan Palmqvist,Eskilstuna MK,A/B/C - förare 4 WD,codriver
10,7,27,A,Melvin Bengtsson,Kullings MS,A - 2 wd,driver
10,7,27,A,Carl Eriksson,Skillingaryds MK,A - 2 wd,codriver
11,2,37,B,Filip Ekenved,Göteborgs MF,B - 2 wd,driver
11,2,37,B,Kim Pettersson,SMK Trollhättan,B - 2 wd,codriver
12,1,67,C,Roger Andersson,Munkfors MC,C - 2 wd,driver
12,1,67,C,André Lundström,Munkfors MC,C - 2 wd,codriver
13,8,10,A,Rasmus Pettersson,Katrineholms MK,A - 2 wd,driver
13,8,10,A,Tobias Abrahamsson,Katrineholms MK,A - 2 wd,codriver
14,9,13,A,Kent Larsson,MK Team Westom,A - 2 wd,driver
14,9,13,A,Sofie Sjöberg Karlsson,Carlstad RC,A - 2 wd,codriver
15,1,44,A,Mats Jonsson,Forshaga MC,A/B/C - förare App K 81-(alla),driver
15,1,44,A,Jon Magnusson,SMK Linde,A/B/C - förare App K 81-(alla),codriver
16,10,20,A,Lars Engström,Kullings MS,A - 2 wd,driver
16,10,20,A,Roger Dahlberg,Kristdala MS,A - 2 wd,codriver
17,3,31,B,Robin Gustafsson,MK Team Westom,B - 2 wd,driver
17,3,31,B,Erik Bergström,MK Team Westom,B - 2 wd,codriver
18,11,9,A,Anders Johansson,Kullings MS,A - 2 wd,driver
18,11,9,A,Peter Andersson,Kullings MS,A - 2 wd,codriver
19,12,12,A,Philip Haag,Vara MK,A - 2 wd,driver
19,12,12,A,Fredrik Palm,Skara MK,A - 2 wd,codriver
20,4,28,B,Claes Söderqvist,Götene MK,B - 2 wd,driver
20,4,28,B,Martin Andersson,Götene MK,B - 2 wd,codriver
21,1,52,A,Arne Rådström,MK Ratten,A/B/C - förare App K 2WD -1981,driver
21,1,52,A,Per Wiksten,MK Ratten,A/B/C - förare App K 2WD -1981,codriver
22,13,15,A,Andreas Thelaus,Karlstads MC Bil,A - 2 wd,driver
22,13,15,A,Krister Gull,Munkfors MC,A - 2 wd,codriver
23,5,29,B,Erik Stenberg,Kullings MS,B - 2 wd,driver
23,5,29,B,Mattias Holm,SMK Trollhättan,B - 2 wd,codriver
24,2,50,A,Roger Berglund,Team Skogsåkarna,A/B/C - förare App K 2WD -1981,driver
24,2,50,A,Terje Plomén,SMK Valdemarsvik,A/B/C - förare App K 2WD -1981,codriver
25,14,7,A,Bengt Carlsson,Vara MK,A - 2 wd,driver
25,14,7,A,Andreas Aleryd,Vara MK,A - 2 wd,codriver
26,15,16,A,Jonas Sandgren,Falköpings MK,A - 2 wd,driver
26,15,16,A,Nathalie Arvidsson,Falköpings MK,A - 2 wd,codriver
27,3,48,A,Markus Börjesson,Älvbygdens MK,A/B/C - förare App K 2WD -1981,driver
27,3,48,A,Björn Ekenved,Göteborgs MF,A/B/C - förare App K 2WD -1981,codriver
28,6,34,B,Daniel Johansson,Munkfors MC,B - 2 wd,driver
28,6,34,B,Jan Adolfsson,Finnskoga MK,B - 2 wd,codriver
29,2,63,C,Andreas Lund,Säffle MC,C - 2 wd,driver
29,2,63,C,Oliver Höög,Linköpings MS,C - 2 wd,codriver
30,7,32,B,Sven Hansen,Fryksdalens MK,B - 2 wd,driver
30,7,32,B,Niklas Haag,Munkfors MC,B - 2 wd,codriver
31,16,11,A,Mats Larsson,Nora MK,A - 2 wd,driver
31,16,11,A,Henrik Eriksson,Laxå MK,A - 2 wd,codriver
32,4,51,A,Eddie Hörbing,SMK Karlskoga,A/B/C - förare App K 2WD -1981,driver
32,4,51,A,Toni Sundqvist,VÖMK,A/B/C - förare App K 2WD -1981,codriver
33,17,18,A,Andreas Elfver,Gränna MK,A - 2 wd,driver
33,17,18,A,Sofie Elfver,Gränna MK,A - 2 wd,codriver
34,3,66,C,Richard Jonsson,Götene MK,C - 2 wd,driver
34,3,66,C,Toni Andersson,Götene MK,C - 2 wd,codriver
35,1,38,A,Oscar Östlund,Hällefors MK,"A/B - förare VOC, Gr F, Gr N<1400",driver
35,1,38,A,Daniel Andersson,VÖMK,"A/B - förare VOC, Gr F, Gr N<1400",codriver
36,18,17,A,Lars-Ove Biffen Olsson,Forshaga MC,A - 2 wd,driver
